surface	provenance	semantic_handle	code_form	principal_concern	candidate_id	second_pass	role
Chorus	owner-positive	Music, notation, and performance, Plurality and ecosystem, Labor and coordination	chorus / Chorus	Exact crates.io package record observed for "chorus".	cand-ca6e99a67a7a8aa2	unreviewed	unassigned
Containment	owner-positive	Distributed runtime and resilience	containment / Containment	Exact npm package record observed for "containment".	cand-47acb2c42ed161a9	unreviewed	unassigned
Continuance	owner-positive	Time, recovery, and inheritance, Persistence and provenance, Distributed runtime and resilience	continuance / Continuance	Exact npm package record observed for "continuance".	cand-c30a779809beb6d2	unreviewed	unassigned
Cue	owner-positive	Labor and coordination, Play and games	cue / Cue	Exact crates.io package record observed for "cue".	cand-14da5d70daaa665e	unreviewed	unassigned
Daedalus	owner-positive	Architecture and construction, Craft and material transformation, Music, notation, and performance	daedalus / Daedalus	Exact crates.io package record observed for "daedalus".	cand-6afe40611ff94485	unreviewed	unassigned
Dclare	owner-positive	Declaration and contract, Boundary and translation	dclare / Dclare	Dictation risk: very high because the intended spoken form does not determine whether the missing vowel is reflected in spelling.	cand-19ede83106f38266	unreviewed	unassigned
Declare	owner-positive	Declaration and contract, Action and agency, Boundary and translation	declare / Declare	Exact crates.io package record observed for "declare".	cand-b7012df7548775c2	unreviewed	unassigned
Declaret	owner-positive	Declaration and contract, Boundary and translation	declaret / Declaret	The coined suffix has no conventional English semantics and may be heard as 'declare it'.	cand-d051f1f2dcf907ec	unreviewed	unassigned
Draft	owner-positive	Architecture and construction, Writing, editing, and publishing, Navigation and orientation	draft / Draft	Exact crates.io package record observed for "draft".	cand-7743ce348d9284d6	unreviewed	unassigned
DSPy for Elixir	owner-positive	Program and compilation, Science and experiment, Measurement and evidence	dspy_for_elixir / DspyForElixir	It falsely suggests an official or drop-in DSPy port, feature and semantic parity, endorsement, and a permanently derivative architecture despite BEAM-native design choices.	cand-e0a30512ba68d67d	unreviewed	unassigned
ECHO	owner-positive	Feedback, control, and cybernetics, Measurement and evidence, Science and experiment	echo / Echo	Exact crates.io package record observed for "echo".	cand-092c79e8f80e559e	unreviewed	unassigned
Elynd	owner-positive	Abstract and sound-symbolic, Time, recovery, and inheritance	elynd / Elynd	The ending is hard to hear, and the form may be mistaken for a personal or fantasy name.	cand-183487a3159c0890	unreviewed	unassigned
Empiric	owner-positive	Science and experiment, Measurement and evidence	empiric / Empiric	Exact npm package record observed for "empiric".	cand-abb06a5e8238e595	unreviewed	unassigned
Ergon	owner-positive	Purpose, praxis, and teleology, Labor and coordination, Measurement and evidence	ergon / Ergon	Exact crates.io package record observed for "ergon".	cand-89e993df559c87f1	unreviewed	unassigned
Errata	owner-positive	Writing, editing, and publishing, Care, stewardship, and repair	errata / Errata	Exact crates.io package record observed for "errata".	cand-0d0838668315bb2a	unreviewed	unassigned
Evalis	owner-positive	Measurement and evidence, Science and experiment	evalis / Evalis	Exact npm package record observed for "evalis".	cand-9e7a85bf62956f37	unreviewed	unassigned
Footnote	owner-positive	Persistence and provenance, Limits, refusal, and silence, Measurement and evidence	footnote / Footnote	Exact npm package record observed for "footnote".	cand-50c490aaee45ad3b	unreviewed	unassigned
Frame	owner-positive	Architecture and construction, Boundary and translation	frame / Frame	Exact crates.io package record observed for "frame".	cand-9dff50df08c63581	unreviewed	unassigned
Gain	owner-positive	Feedback, control, and cybernetics, Uncertainty and probability	gain / Gain	Exact crates.io package record observed for "gain".	cand-66dd231befc8120d	unreviewed	unassigned
Gate	owner-positive	Boundary and translation, Infrastructure and logistics, Limits, refusal, and silence	gate / Gate	Exact crates.io package record observed for "gate".	cand-c974e17b8e7321ce	unreviewed	unassigned
Gather	owner-positive	Writing, editing, and publishing, Plurality and ecosystem, Civic life and governance	gather / Gather	Exact npm package record observed for "gather".	cand-e9da0bd78f29fd83	unreviewed	unassigned
Generation	owner-positive	Distributed runtime and resilience, Time, recovery, and inheritance, Persistence and provenance	generation / Generation	Exact npm package record observed for "generation".	cand-e661f4c935e8a5a8	unreviewed	unassigned
Germinal	owner-positive	Ecology and cultivation, Learning and adaptation, Purpose, praxis, and teleology	germinal / Germinal	Exact Hex package record observed for "germinal".	cand-7dcea739e25892b6	unreviewed	unassigned
Glass Labyrinth	owner-positive	Uncertainty and probability, Navigation and orientation, Abstract and sound-symbolic	glass_labyrinth / GlassLabyrinth	Labyrinth language is grandiose and may suggest a confusing product; glass can imply transparency guarantees the library cannot make.	cand-5a7a3e94575325c2	unreviewed	unassigned
Gradient	owner-positive	Learning and adaptation, Measurement and evidence	gradient / Gradient	Exact crates.io package record observed for "gradient".	cand-1b6a3443f30a8adc	unreviewed	unassigned
Hum	owner-positive	Music, notation, and performance, Distributed runtime and resilience	hum / Hum	Exact crates.io package record observed for "hum".	cand-04fb78ddc42ed5b7	unreviewed	unassigned
Imprint	owner-positive	Writing, editing, and publishing, Persistence and provenance	imprint / Imprint	Exact crates.io package record observed for "imprint".	cand-e7444343ba0a70a2	unreviewed	unassigned
Infrastructure for Measured Programs	owner-positive	Infrastructure and logistics, Architecture and construction, Measurement and evidence	infrastructure_for_measured_programs / InfrastructureForMeasuredPrograms		cand-91be97b21fe63761	unreviewed	unassigned
Joinery	owner-positive	Craft and material transformation, Boundary and translation, Architecture and construction	joinery / Joinery	Exact crates.io package record observed for "joinery".	cand-eded4662cb4e7e9b	unreviewed	unassigned
Kiln	owner-positive	Craft and material transformation, Science and experiment, Architecture and construction	kiln / Kiln	Exact crates.io package record observed for "kiln".	cand-cdfe9ad58b46226d	unreviewed	unassigned
Kintsugi	owner-positive	Craft and material transformation, Care, stewardship, and repair, Persistence and provenance	kintsugi / Kintsugi	Exact crates.io package record observed for "kintsugi".	cand-eb777bd61e47f0f6	unreviewed	unassigned
Labmark	owner-positive	Science and experiment, Measurement and evidence	labmark / Labmark		cand-3d02c0e441930f49	unreviewed	unassigned
Labscript	owner-positive	Science and experiment, Writing, editing, and publishing, Program and compilation	labscript / Labscript	Exact crates.io package record observed for "labscript".	cand-d73740dacaf4bcf0	unreviewed	unassigned
Laplace	owner-positive	Uncertainty and probability, Mathematics and logic, Science and experiment	laplace / Laplace	Exact npm package record observed for "laplace".	cand-00b38c8bf4329725	unreviewed	unassigned
Latch	owner-positive	Limits, refusal, and silence, Boundary and translation	latch / Latch	Exact crates.io package record observed for "latch".	cand-83b6a889a09a5360	unreviewed	unassigned
Lex	owner-positive	Language and meaning, Civic life and governance	lex / Lex	Exact crates.io package record observed for "lex".	cand-15e38a21669d3adc	unreviewed	unassigned
LMX	owner-positive	Program and compilation, Distributed runtime and resilience	lmx / Lmx	Exact npm package record observed for "lmx".	cand-4692a3334b44199f	unreviewed	unassigned
Locus	owner-positive	Declaration and contract, Care, stewardship, and repair	locus / Locus	Exact crates.io package record observed for "locus".	cand-0b597595a01aaa08	unreviewed	unassigned
Looplet	owner-positive	Feedback, control, and cybernetics, Composition and modularity	looplet / Looplet	Exact PyPI package record observed for "looplet".	cand-f7f6681bf74bfb78	unreviewed	unassigned
Lumo	owner-positive	Measurement and evidence, Abstract and sound-symbolic, Care, stewardship, and repair	lumo / Lumo	Exact crates.io package record observed for "lumo".	cand-a827b9ca384b21f5	unreviewed	unassigned
Manuscript	owner-positive	Writing, editing, and publishing, Time, recovery, and inheritance	manuscript / Manuscript	Exact crates.io package record observed for "manuscript".	cand-8f10a68d54a88afc	unreviewed	unassigned
Margin	owner-positive	Uncertainty and probability, Limits, refusal, and silence, Writing, editing, and publishing	margin / Margin	Exact crates.io package record observed for "margin".	cand-34e39f662ff56641	unreviewed	unassigned
Mavun	owner-positive	Abstract and sound-symbolic, Plurality and ecosystem	mavun / Mavun	Different expected stress patterns make spoken handoffs inconsistent.	cand-2e498339cf00fd7d	unreviewed	unassigned
Mortise	owner-positive	Craft and material transformation, Architecture and construction, Writing, editing, and publishing	mortise / Mortise	Exact crates.io package record observed for "mortise".	cand-eac14119f691c446	unreviewed	unassigned
Motif	owner-positive	Music, notation, and performance, Composition and modularity, Architecture and construction	motif / Motif	Exact crates.io package record observed for "motif".	cand-7d0c43beb087fdf3	unreviewed	unassigned
Mumo	owner-positive	Abstract and sound-symbolic, Play and games	mumo / Mumo	Its gentle sound supplies little technical category signal.	cand-cf3e403833171794	unreviewed	unassigned
Mycelial	owner-positive	Ecology and cultivation, Plurality and ecosystem, Distributed runtime and resilience	mycelial / Mycelial	Exact PyPI package record observed for "mycelial".	cand-d75e24e35a0e6949	unreviewed	unassigned
NEST	owner-positive	Plurality and ecosystem, Time, recovery, and inheritance, Persistence and provenance	nest / Nest	Exact crates.io package record observed for "nest".	cand-75ef2e329bdb50d2	unreviewed	unassigned
Ombra	owner-positive	Persistence and provenance, Abstract and sound-symbolic	ombra / Ombra	Exact npm package record observed for "ombra".	cand-e393d2af86a51b0b	unreviewed	unassigned
Orchard	owner-positive	Ecology and cultivation, Measurement and evidence, Care, stewardship, and repair	orchard / Orchard	Exact crates.io package record observed for "orchard".	cand-68566dc699f6bb9e	unreviewed	unassigned
Pactera	owner-positive	Plurality and ecosystem, Abstract and sound-symbolic	pactera / Pactera	Pact may be read as a legal or governance promise the product cannot make.	cand-9db3306400d08816	unreviewed	unassigned
PALM	owner-positive	Persistence and provenance, Plurality and ecosystem	palm / Palm	Exact crates.io package record observed for "palm".	cand-f5afa2b3773eb81b	unreviewed	unassigned
Patch	owner-positive	Action and agency, Care, stewardship, and repair	patch / Patch	Exact crates.io package record observed for "patch".	cand-a4895eb44afc336f	unreviewed	unassigned
Practica	owner-positive	Pedagogy and apprenticeship, Play and games	practica / Practica	Exact npm package record observed for "practica".	cand-cf22a8a09367f980	unreviewed	unassigned
Prograft	owner-positive	Composition and modularity	prograft / Prograft	Graft has invasive or medical associations and may imply undocumented transformation.	cand-39ad9ab4f82b62c3	unreviewed	unassigned
Quire	owner-positive	Writing, editing, and publishing, Composition and modularity, Language and meaning	quire / Quire	Exact crates.io package record observed for "quire".	cand-614957baf804ef8a	unreviewed	unassigned
Reclare	owner-positive	Declaration and contract, Boundary and translation	reclare / Reclare	Exact npm package record observed for "reclare".	cand-988e873592b169b8	unreviewed	unassigned
Recurra	owner-positive	Time, recovery, and inheritance, Abstract and sound-symbolic	recurra / Recurra		cand-6c4a27efaa1b18aa	unreviewed	unassigned
Rein	owner-positive	Action and agency, Limits, refusal, and silence	rein / Rein	Exact crates.io package record observed for "rein".	cand-97c30a9a74865da2	unreviewed	unassigned
Rejoin	owner-positive	Distributed runtime and resilience, Time, recovery, and inheritance	rejoin / Rejoin	Exact npm package record observed for "rejoin".	cand-a58e6e7f676cce7a	unreviewed	unassigned
Rota	owner-positive	Language and meaning, Civic life and governance	rota / Rota	Exact crates.io package record observed for "rota".	cand-0c436f942f94caf2	unreviewed	unassigned
Run/0	owner-positive	Program and compilation, Distributed runtime and resilience	run_0 / Run0	Can be misread as unattended operation or a one-shot command.	cand-871d6d04daf1b5d7	unreviewed	unassigned
RUNE	owner-positive	Persistence and provenance, Measurement and evidence	rune / Rune	Exact crates.io package record observed for "rune".	cand-dcd69bed70a827d5	unreviewed	unassigned
Scaffold	owner-positive	Architecture and construction, Boundary and translation, Craft and material transformation	scaffold / Scaffold	Exact crates.io package record observed for "scaffold".	cand-db8a7260fb63f939	unreviewed	unassigned
SCP	owner-positive	Feedback, control, and cybernetics, Infrastructure and logistics	scp / Scp	Exact crates.io package record observed for "scp".	cand-a4a6172074384f94	unreviewed	unassigned
Scriptile	owner-positive	Composition and modularity, Writing, editing, and publishing	scriptile / Scriptile	Some speakers may say skrip-teel.	cand-d8386b403b6a39e5	unreviewed	unassigned
Semantic Pipeline	owner-positive	Language and meaning, Program and compilation	semantic_pipeline / SemanticPipeline		cand-0c256fa167046a4e	unreviewed	unassigned
Semantica	owner-positive	Language and meaning, Mathematics and logic	semantica / Semantica	Exact npm package record observed for "semantica".	cand-1875d4b199de7470	unreviewed	unassigned
Sigil	owner-positive	Ritual, magic, and transformation, Language and meaning, Declaration and contract	sigil / Sigil	Exact crates.io package record observed for "sigil".	cand-9fbc76b5aa5a9b79	unreviewed	unassigned
Signalbox	owner-positive	Distributed runtime and resilience, Composition and modularity	signalbox / Signalbox	Exact crates.io package record observed for "signalbox".	cand-45f2aebd240cb351	unreviewed	unassigned
Signatory	owner-positive	Declaration and contract, Language and meaning	signatory / Signatory	Exact crates.io package record observed for "signatory".	cand-1ff42b9980ddf85b	unreviewed	unassigned
Signpost	owner-positive	Navigation and orientation, Boundary and translation	signpost / Signpost	Exact crates.io package record observed for "signpost".	cand-84359f255ff0f6aa	unreviewed	unassigned
Slate	owner-positive	Civic life and governance, Language and meaning	slate / Slate	Exact crates.io package record observed for "slate".	cand-b62f3b3b1b40cb86	unreviewed	unassigned
Spool	owner-positive	Civic life and governance, Persistence and provenance	spool / Spool	Exact crates.io package record observed for "spool".	cand-627c012b20c46af5	unreviewed	unassigned
Stack	owner-positive	Plurality and ecosystem, Infrastructure and logistics	stack / Stack	Exact crates.io package record observed for "stack".	cand-6ee08e6eb3bc6f45	unreviewed	unassigned
Steer	owner-positive	Action and agency, Feedback, control, and cybernetics	steer / Steer	Exact crates.io package record observed for "steer".	cand-57fce44d7c6df51a	unreviewed	unassigned
Stitch	owner-positive	Architecture and construction, Boundary and translation	stitch / Stitch	Exact crates.io package record observed for "stitch".	cand-864a42c4bf81be05	unreviewed	unassigned
Studio	owner-positive	Pedagogy and apprenticeship, Play and games	studio / Studio	Exact crates.io package record observed for "studio".	cand-da0daaba4b156961	unreviewed	unassigned
Substitution	owner-positive	Program and compilation, Mathematics and logic	substitution / Substitution	Exact npm package record observed for "substitution".	cand-6c4907c0653a336f	unreviewed	unassigned
Suvra	owner-positive	Abstract and sound-symbolic, Persistence and provenance	suvra / Suvra	Exact npm package record observed for "suvra".	cand-ba2fa43600d172b6	unreviewed	unassigned
Switchyard	owner-positive	Infrastructure and logistics, Navigation and orientation, Composition and modularity	switchyard / Switchyard	Exact crates.io package record observed for "switchyard".	cand-3e865a8f1fca8d39	unreviewed	unassigned
Tabula	owner-positive	Language and meaning, Civic life and governance	tabula / Tabula	Exact crates.io package record observed for "tabula".	cand-7c02a1336b79d6b4	unreviewed	unassigned
Take	owner-positive	Music, notation, and performance, Persistence and provenance	take / Take	Exact crates.io package record observed for "take".	cand-d1905cf90af29a5a	unreviewed	unassigned
Telari	owner-positive	Purpose, praxis, and teleology, Abstract and sound-symbolic, Learning and adaptation	telari / Telari	Still fed by classical roots and may be confused with unrelated personal or place names.	cand-389efd3ad231e3a3	unreviewed	unassigned
Teleonomy	owner-positive	Purpose, praxis, and teleology, Uncertainty and probability, Learning and adaptation	teleonomy / Teleonomy	Specialist term may confuse users and still imports biological purpose language.	cand-f63c3ef358d7aac6	unreviewed	unassigned
Telic Beam	owner-positive	Purpose, praxis, and teleology, Distributed runtime and resilience, Measurement and evidence	telic_beam / TelicBeam	Insider BEAM wording may age poorly if the identity needs runtime-neutral scope.	cand-d5b40187132f6627	unreviewed	unassigned
Telos	owner-positive	Purpose, praxis, and teleology, Measurement and evidence, Action and agency	telos / Telos	Exact crates.io package record observed for "telos".	cand-c987adc38cb55365	unreviewed	unassigned
Tempo	owner-positive	Music, notation, and performance, Feedback, control, and cybernetics	tempo / Tempo	Exact crates.io package record observed for "tempo".	cand-8d6546721a1d106c	unreviewed	unassigned
Tender	owner-positive	Action and agency, Care, stewardship, and repair	tender / Tender	Exact crates.io package record observed for "tender".	cand-a9eba7c405ea67a1	unreviewed	unassigned
Texture	owner-positive	Composition and modularity, Writing, editing, and publishing	texture / Texture	Exact crates.io package record observed for "texture".	cand-38a3c50b7c1f9635	unreviewed	unassigned
Thaum	owner-positive	Ritual, magic, and transformation, Abstract and sound-symbolic, Language and meaning	thaum / Thaum	Opaque pronunciation and magic-root semantics may weaken trust for serious operational users.	cand-7329b38ee0fd4a4a	unreviewed	unassigned
Theorem	owner-positive	Mathematics and logic, Measurement and evidence	theorem / Theorem	Exact npm package record observed for "theorem".	cand-cc7a8a13032ef578	unreviewed	unassigned
Theoria	owner-positive	Purpose, praxis, and teleology, Science and experiment, Measurement and evidence	theoria / Theoria	Exact Hex package record observed for "theoria".	cand-9607845296539f45	unreviewed	unassigned
Threshold	owner-positive	Feedback, control, and cybernetics, Uncertainty and probability, Boundary and translation	threshold / Threshold	Exact crates.io package record observed for "threshold".	cand-497e22fe854a24bc	unreviewed	unassigned
Transduce	owner-positive	Boundary and translation	transduce / Transduce	Exact crates.io package record observed for "transduce".	cand-2d47e6f9bc8b14e6	unreviewed	unassigned
Transmute	owner-positive	Ritual, magic, and transformation, Program and compilation, Learning and adaptation	transmute / Transmute	Exact crates.io package record observed for "transmute".	cand-af0e6100f2188c2c	unreviewed	unassigned
Trellis	owner-positive	Ecology and cultivation, Composition and modularity, Care, stewardship, and repair	trellis / Trellis	Exact crates.io package record observed for "trellis".	cand-3a4ad37e305ff3bb	unreviewed	unassigned
Trestle	owner-positive	Architecture and construction, Care, stewardship, and repair	trestle / Trestle	Exact crates.io package record observed for "trestle".	cand-5e05a1dc0086678d	unreviewed	unassigned
Truss	owner-positive	Architecture and construction, Composition and modularity, Craft and material transformation	truss / Truss	Exact crates.io package record observed for "truss".	cand-f84f002b2bed908f	unreviewed	unassigned
Tuning	owner-positive	Music, notation, and performance, Measurement and evidence	tuning / Tuning	Exact crates.io package record observed for "tuning".	cand-c72dee7fe8e800e2	unreviewed	unassigned
Union	owner-positive	Labor and coordination, Civic life and governance	union / Union	Exact crates.io package record observed for "union".	cand-ef3ff703d7565ab5	unreviewed	unassigned
Uqra	owner-positive	Abstract and sound-symbolic, Plurality and ecosystem	uqra / Uqra	The q cluster creates speech and spelling friction, and it may be read as invented exoticism.	cand-940a2589b805d8e3	unreviewed	unassigned
Variate	owner-positive	Learning and adaptation, Uncertainty and probability	variate / Variate	Exact npm package record observed for "variate".	cand-a5bf5ed239320e0c	unreviewed	unassigned
Wayline	owner-positive	Navigation and orientation, Boundary and translation, Persistence and provenance	wayline / Wayline	Exact npm package record observed for "wayline".	cand-484963298f3b4470	unreviewed	unassigned
WEAVE	owner-positive	Persistence and provenance, Plurality and ecosystem, Time, recovery, and inheritance	weave / Weave	Exact crates.io package record observed for "weave".	cand-775e432bb7ff3e08	unreviewed	unassigned
WIT	owner-positive	Measurement and evidence, Feedback, control, and cybernetics, Program and compilation	wit / Wit	Exact crates.io package record observed for "wit".	cand-939df4a72606636c	unreviewed	unassigned
Yield	owner-positive	Action and agency, Limits, refusal, and silence, Labor and coordination	yield / Yield	Exact npm package record observed for "yield".	cand-8bbcba42d48dcffe	unreviewed	unassigned
Ballast	taste-wave:operations-mechanisms	Stabilizes iterative optimization and runtime operation.	ballast / Ballast	May imply weight or resistance to change.	taste-ballast	unreviewed	unassigned
Capstan	taste-wave:operations-mechanisms	Suggests controlled iterative advancement under load.	capstan / Capstan	Unfamiliar nautical machinery term.	taste-capstan	unreviewed	unassigned
Crossfeed	taste-wave:operations-mechanisms	Moves evidence and outputs between evaluation loops.	crossfeed / Crossfeed	Aviation and fuel-system association.	taste-crossfeed	unreviewed	unassigned
Crosspoint	taste-wave:operations-mechanisms	Connects programs, metrics, tools, and providers.	crosspoint / Crosspoint	Could sound like generic network hardware.	taste-crosspoint	unreviewed	unassigned
Detent	taste-wave:operations-mechanisms	Suggests typed checkpoints and bounded transitions.	detent / Detent	The mechanism is obscure to many users.	taste-detent	unreviewed	unassigned
Fairlead	taste-wave:operations-mechanisms	Guides programs and evidence along controlled paths.	fairlead / Fairlead	Pronunciation and nautical meaning may be unclear.	taste-fairlead	unreviewed	unassigned
Gantry	taste-wave:operations-mechanisms	Frames execution, evaluation, and operational machinery.	gantry / Gantry	Industrial scale may feel heavy.	taste-gantry	unreviewed	unassigned
Guideway	taste-wave:operations-mechanisms	Provides a constrained route from signature to deployment.	guideway / Guideway	Strong transit-system association.	taste-guideway	unreviewed	unassigned
Interlock	taste-wave:operations-mechanisms	Enforces typed and evaluated gates between phases.	interlock / Interlock	May overemphasize restriction.	taste-interlock	unreviewed	unassigned
Patchbay	taste-wave:operations-mechanisms	Makes runtime composition and rerouting tangible.	patchbay / Patchbay	Audio-engineering association may dominate.	taste-patchbay	unreviewed	unassigned
Sluice	taste-wave:operations-mechanisms	Meters examples and results through bounded optimization.	sluice / Sluice	Water and mining imagery may dominate.	taste-sluice	unreviewed	unassigned
Weir	taste-wave:operations-mechanisms	Combines bounded flow, regulation, and measurement.	weir / Weir	Pronunciation and surname ambiguity.	taste-weir	unreviewed	unassigned
