display	candidate_id	best_rank	elixir	research	platform	commercial	company	protocol	wildcard	pareto_roles	flags	dissent
Textlattice	cand-fdf2df8c4e6b4115	20	B/73	B/42	B/27	B/44	B/38	B/20	no	6	0	0
Orsel	cand-930eaf1684b953a9	22	B/45	B/66	B/22	B/43	B/26	B/34	no	6	0	1
GenLine	cand-2d8a2da26c94353a	23	B/23	B/95	B/128	B/123	B/194	B/113	no	6	0	1
Tervel	cand-32d2781649e7ddc2	23	B/132	B/148	B/44	B/62	B/23	B/62	no	6	0	1
Apparatus Runtime	cand-1af0baf9ac14f4ea	24	B/112	B/34	B/32	B/55	B/41	B/24	yes	6	0	0
Draftmesh	cand-b7b13c04b48e0905	24	B/30	B/40	B/60	B/24	B/34	B/69	no	6	0	0
Telic Beam	cand-d5b40187132f6627	24	B/24	B/58	B/103	B/105	B/164	B/100	no	6	0	0
Trail Marker	cand-cfd7e8f436f98cbc	24	B/86	B/78	B/64	B/31	B/24	B/90	no	6	0	0
Return Path	cand-c4016685970090f2	25	B/25	B/37	B/33	B/32	B/36	B/39	no	6	0	0
Program Crane	cand-520d7a596f20f6ec	26	B/34	B/30	B/34	B/29	B/39	B/26	no	6	0	0
Draftbench	cand-3eea1cd6b90078b5	27	B/29	B/32	B/47	B/27	B/50	B/33	no	6	0	0
Scopeweave	cand-9eb1b1fa3bb1eb6e	27	B/27	B/28	B/31	B/40	B/44	B/31	no	6	0	0
Secondroot	cand-1ef63d955eac670c	27	B/90	B/101	B/37	B/49	B/27	B/55	no	6	0	0
Axima	cand-84cb94baa6eb5328	28	B/41	B/76	B/30	B/37	B/28	B/48	no	6	0	1
Reviscript	cand-95fdecf7af44863f	28	B/28	B/62	B/73	B/34	B/60	B/80	no	6	0	0
Caldrin	cand-54e4df2cff57c575	30	B/104	B/94	B/36	B/54	B/30	B/56	no	6	0	1
Calibrate	cand-3b42f2115d404472	31	B/42	B/31	B/45	B/77	B/121	B/32	no	0	2	0
Lattice Road	cand-c50218e25e0f6311	31	B/105	B/86	B/55	B/39	B/31	B/85	no	6	0	0
Modulect	cand-2669a117150016d2	31	B/31	B/59	B/56	B/66	B/70	B/73	no	6	0	0
Traceweft	cand-6c06c3f3d265af67	32	B/32	B/63	B/63	B/144	B/188	B/72	no	6	0	0
Facetline	cand-6fa8fd510de990b0	35	B/40	B/60	B/38	B/35	B/35	B/46	no	6	0	0
Observed Lift	cand-8ede218a845a65f5	35	B/57	B/35	B/61	B/46	B/65	B/45	no	0	0	0
Program Yard	cand-0142bd77ad813bc4	35	B/67	B/50	B/35	B/36	B/40	B/40	no	6	0	0
ValueRail	cand-8640b09350b9a921	35	B/35	B/64	B/62	B/79	B/88	B/50	no	0	0	0
Comparata	cand-291d20b1cd691a7f	36	B/55	B/39	B/46	B/50	B/55	B/36	no	0	0	0
Everbranch	cand-41bb24e2be8d30df	37	B/147	B/120	B/67	B/63	B/37	B/76	no	6	0	0
Routebook	cand-bf8c6847e98249e3	37	B/37	B/49	B/48	B/38	B/47	B/49	no	6	0	0
Decl.Program	cand-97ea8cb94a997737	38	B/102	B/38	B/167	B/268	C/406	B/64	no	6	0	0
Evidence Kernel	cand-041081efc904c7c6	38	B/92	B/41	B/41	B/64	B/76	B/38	no	6	0	0
Revisory	cand-e52aa66182f7775d	41	B/65	B/56	B/49	B/67	B/66	B/41	no	6	0	0
Callboard	cand-15bd3050bec6589e	42	B/44	B/115	B/65	B/42	B/43	B/104	no	6	0	0
Program Transform	cand-eb8a9c526d52c258	43	B/123	B/43	B/117	B/179	B/257	B/44	no	6	0	0
Structline	cand-c89ebd3cdbceba2c	43	B/58	B/61	B/69	B/96	B/105	B/43	yes	0	0	0
Declared Work	cand-446bafd462ae15d1	44	B/75	B/44	B/116	B/137	B/214	B/58	no	6	0	0
Declarework	cand-b53ee0dc1bdf01be	45	B/97	B/45	B/71	B/131	B/145	B/54	no	0	0	0
Elsewhen	cand-e925b319a5148477	45	B/101	B/112	B/77	B/61	B/45	B/96	no	6	0	0
Declaret	cand-d051f1f2dcf907ec	46	B/46	B/52	B/87	B/118	B/135	B/74	no	6	0	0
Only the Program	cand-45b2a9208d787d09	46	B/129	B/46	B/84	B/73	B/92	B/87	no	5	0	0
Experiment Press	cand-d9a2c221788237bf	47	B/114	B/51	B/75	B/47	B/61	B/70	no	6	0	0
Measurefield	cand-0c8e8434c2e79ddd	47	B/84	B/47	B/83	B/75	B/107	B/47	no	6	0	0
Sidecue	cand-d315f576ad752682	47	B/47	B/68	B/94	B/72	B/93	B/86	no	6	0	0
Bound	cand-5e1cf42878df58fe	48	B/48	B/119	B/102	B/224	B/292	B/130	no	6	3	0
Outcome Loom	cand-fc7ed3cf35206ef9	48	B/127	B/124	B/86	B/53	B/48	B/118	no	6	0	0
Resultsmith	cand-74408695f4edf58f	48	B/70	B/53	B/58	B/48	B/59	B/63	no	5	0	0
Mavun	cand-2e498339cf00fd7d	49	B/203	B/137	B/57	B/126	B/49	B/68	no	6	0	0
LiLoop	cand-5343212919e156fd	50	B/50	B/107	B/98	B/83	B/99	B/109	no	6	0	0
Declarium	cand-ae05ddf005d45d6e	51	B/54	B/55	B/51	B/78	B/85	B/51	no	0	0	0
Rovena	cand-1b32aebc9b8db4a5	51	B/151	B/100	B/54	B/103	B/51	B/61	no	6	0	0
Trialsmith	cand-d623ee0a8b0b02dd	51	B/106	B/80	B/81	B/51	B/53	B/106	no	6	0	0
Continuance	cand-c30a779809beb6d2	52	B/96	B/85	B/52	B/128	B/115	B/53	no	6	1	0
Locality	cand-3d79a8afccb570af	52	B/52	B/165	B/174	B/204	B/253	B/176	no	6	1	0
Tersa	cand-991edcc6b1a4edbf	52	B/153	B/156	B/78	B/94	B/52	B/99	no	6	0	0
Wayframe	cand-e2fc908147ced6bb	52	B/59	B/67	B/59	B/69	B/74	B/52	no	6	0	0
Commonwork	cand-3962384abcb85ad4	53	B/53	B/111	B/107	B/113	B/132	B/101	no	6	0	0
Kintrace	cand-b02f26321107fbfc	53	B/62	B/71	B/53	B/70	B/69	B/60	no	0	0	0
Artifact Rail	cand-a0b8b233552d8f44	54	B/95	B/54	B/79	B/93	B/126	B/75	no	6	0	0
Relaybook	cand-e44786cf82fba3d1	54	B/158	B/160	B/110	B/68	B/54	B/120	no	6	0	0
Eventloom	cand-e8e055704cc8e088	56	B/56	B/133	B/91	B/106	B/97	B/125	no	6	0	0
Bounded Choice	cand-144e20b24751a683	57	B/145	B/65	B/74	B/88	B/87	B/57	no	0	0	0
Noise Floor	cand-6c3748bf8b2573ee	57	B/152	B/57	B/89	B/116	B/154	B/59	no	0	0	0
Program Garden	cand-d73abcd9590f5bfa	57	B/217	B/136	B/121	B/57	B/71	B/179	no	6	0	0
Trialhouse	cand-debe56127788f7cd	57	B/131	B/117	B/68	B/65	B/57	B/95	no	6	0	0
Wildtype	cand-692505ecd41bd323	58	B/78	B/161	B/97	B/58	B/68	B/132	no	6	0	0
Error Bar	cand-f7d584063c8b541b	59	B/116	B/83	B/104	B/59	B/100	B/94	no	6	0	0
Boundshift	cand-7f9254a7fff0c900	60	B/60	B/84	B/90	B/117	B/142	B/84	no	6	0	0
The Plain Machine	cand-f2e235e969a2be60	60	B/140	B/82	B/99	B/60	B/79	B/127	no	6	0	0
Valuecraft	cand-971772d88b1f7980	61	B/61	B/103	B/137	B/130	B/167	B/119	no	6	0	0
Rehearsal Guild	cand-24f7667d7ba9e800	62	B/189	B/193	B/130	B/71	B/62	B/214	no	6	0	0
Afterroot	cand-fb051ddbe584e465	63	B/63	B/74	B/66	B/91	B/78	B/66	no	0	0	0
Quiet Ledger	cand-48a624415330d3f3	63	B/350	B/288	B/171	B/119	B/63	B/270	no	6	0	0
Patch Panel	cand-b20fc9008b9eb7ab	64	B/64	B/96	B/125	B/125	B/200	B/112	no	6	0	0
Variant Press	cand-8864229af1faba73	64	B/182	B/116	B/82	B/86	B/64	B/92	no	6	0	0
Program Architecture	cand-aa721caba58e6822	65	B/120	B/70	B/162	B/259	B/374	B/65	no	6	0	0
Editrace	cand-cc8b111c59ba8b0b	66	B/66	B/79	B/72	B/97	B/96	B/71	no	6	0	0
Programma	cand-b48ff07ba0eacdae	67	B/76	B/87	B/85	B/180	B/239	B/67	no	0	1	0
TockTock	cand-ebd7c4932ee45c15	67	B/232	B/346	B/211	B/101	B/67	B/334	no	6	0	0
Calltree	cand-896a9fa2d4644e73	68	B/68	B/167	B/270	C/401	C/653	B/199	no	6	1	0
Editule	cand-725b654a76ec8ba9	69	B/69	B/108	B/150	B/132	B/177	B/144	no	6	0	0
Empirical Programs	cand-3c357aa084256e8a	69	B/282	B/69	B/249	B/312	C/402	B/114	no	6	0	0
Maybeform	cand-14e2cbd78d57c455	70	B/82	B/75	B/70	B/81	B/73	B/82	no	5	0	0
Toolrest	cand-43276133bb46ddaa	71	B/71	B/102	B/148	B/84	B/113	B/122	no	6	0	0
Declared Runtime	cand-3dc843a8216b8639	72	B/192	B/72	B/241	B/317	C/423	B/121	no	6	0	0
Handoff House	cand-d4c4bac36fa81211	72	B/214	B/180	B/95	B/112	B/72	B/129	no	6	0	0
Routewell	cand-99009c8b3037a473	72	B/72	B/97	B/96	B/74	B/84	B/97	no	5	0	0
Evidence Run	cand-1c1374a8bd97002f	73	B/180	B/73	B/216	B/230	B/331	B/78	no	6	0	0
Runthrough	cand-8bdfcfc73161b9d2	74	B/74	B/89	B/131	B/98	B/130	B/116	no	6	0	0
Not a Proof	cand-fa36c39b80ca9084	75	B/289	B/105	B/140	B/87	B/75	B/167	no	6	0	0
Little Loop	cand-406f197f478128cd	76	B/89	B/142	B/144	B/76	B/91	B/171	no	6	0	0
Relaystead	cand-a25d9842385a7b40	76	B/111	B/98	B/76	B/111	B/86	B/89	no	0	0	0
BoundarySet	cand-a25a7684fe691019	77	B/156	B/93	B/138	B/208	B/243	B/77	no	0	0	0
Copyline	cand-153e5f6f41ff5092	77	B/77	B/90	B/92	B/92	B/81	B/102	no	6	0	0
Repairable Routes	cand-37512195ad05ac9f	77	B/169	B/77	B/157	B/102	B/133	B/98	no	6	0	0
Second Thought	cand-7493d602dc79cdfb	77	B/187	B/125	B/113	B/89	B/77	B/138	no	6	0	0
Plainspan	cand-e79ee37de0b029fb	79	B/79	B/113	B/248	B/220	B/337	B/166	no	6	0	0
Gaugework	cand-55e11ead1718d12e	80	B/80	B/132	B/111	B/139	B/151	B/124	yes	6	0	0
Trial Ledger	cand-ed7beceb800807e7	80	B/122	B/81	B/80	B/80	B/104	B/81	no	6	0	0
Waystation	cand-4b5419a8324c23e0	80	B/142	B/139	B/115	B/85	B/80	B/108	no	6	0	0
Rain Gauge	cand-998ed9308bad147e	81	B/81	B/122	B/159	B/100	B/128	B/143	yes	6	0	0
Metric Press	cand-fc226ff99cfab196	82	B/119	B/128	B/126	B/82	B/109	B/117	no	6	0	0
Negative Space	cand-0a21a58d7527127c	82	B/284	B/194	B/124	B/124	B/82	B/158	no	6	0	0
Errata Loop	cand-b3b94169dc725735	83	B/83	B/99	B/93	B/99	B/103	B/93	no	5	0	0
Posterior Press	cand-472b6f2e61db489c	83	B/249	B/149	B/101	B/108	B/83	B/142	no	6	0	0
Meshward	cand-0acf44559b6266ac	85	B/85	B/187	B/88	B/145	B/122	B/133	no	6	0	0
Composcript	cand-37adf347fcb51b13	87	B/87	B/106	B/154	B/90	B/129	B/153	yes	6	0	0
Containment	cand-47acb2c42ed161a9	88	B/88	B/141	B/139	B/159	B/192	B/137	no	0	1	0
Metricline	cand-be731fc1d9b87b47	88	B/91	B/92	B/108	B/104	B/136	B/88	no	6	0	0
Foliochain	cand-5ac238fa8caf326b	90	B/280	B/209	B/122	B/152	B/90	B/146	no	0	0	0
Labmark	cand-3d02c0e441930f49	91	B/133	B/109	B/100	B/109	B/111	B/91	no	6	0	0
Tallytune	cand-e9326d52db9081e6	93	B/93	B/129	B/183	B/114	B/173	B/170	no	6	0	0
Ecotone	cand-38c642502cb43b34	94	B/162	B/177	B/114	B/122	B/94	B/140	no	6	0	0
Cut Room	cand-c3f6498d96948f0d	95	B/146	B/233	B/192	B/95	B/101	B/258	no	6	0	0
Offcut	cand-e91b779f883900bc	95	B/155	B/166	B/156	B/110	B/95	B/151	no	6	0	0
Ovia	cand-56cb5803e607a419	98	B/278	B/219	B/112	B/182	B/98	B/107	no	6	0	0
Relayroot	cand-61a1a16573adaef8	99	B/99	B/145	B/136	B/147	B/189	B/136	no	6	0	0
Tacen	cand-296d3c2830806237	100	B/100	B/131	B/127	B/168	B/190	B/131	no	6	0	0
Choicework	cand-77ab0b4ece9ed8e0	102	B/228	B/127	B/119	B/133	B/102	B/115	no	6	0	0
Declarion	cand-84ae45c813133fa6	103	B/157	B/126	B/120	B/192	B/216	B/103	no	6	0	0
Weigh	cand-63b117d528b902ed	103	B/103	B/152	B/160	B/218	B/250	B/134	no	6	1	0
Method Sheet	cand-d93d7496b3de97bb	104	B/171	B/104	B/214	B/173	B/256	B/164	no	6	0	0
Contract Runtime	cand-97d6c9f34712dc11	105	B/149	B/118	B/175	B/172	B/251	B/105	no	6	0	0
Rootstock	cand-ec6cdc05cfff7c4e	105	B/196	B/226	B/105	B/188	B/179	B/186	no	6	1	0
Elsepath	cand-8c31c80f3cd6a976	106	B/166	B/151	B/106	B/143	B/120	B/128	no	5	0	0
Open Question	cand-143bbb968aaaf050	106	B/225	B/173	B/118	B/138	B/106	B/163	no	6	0	0
Declarer	cand-bc66ff8e0fe95de2	107	B/107	B/172	B/303	B/356	C/535	B/213	no	0	1	0
Edition Lab	cand-ecdad3502c9b76b1	107	B/113	B/146	B/145	B/107	B/138	B/135	no	6	0	0
Eventmark	cand-2447b02bc4c7141f	108	B/108	B/144	B/123	B/136	B/171	B/111	no	0	0	0
Thenwork	cand-99c9c1af05d9f920	108	B/212	B/197	B/129	B/158	B/108	B/177	no	6	0	0
Predeclare	cand-ff08a557eb9b7c84	109	B/109	B/134	B/238	B/198	B/314	B/181	yes	6	0	0
Wayline	cand-484963298f3b4470	109	B/117	B/176	B/109	B/160	B/178	B/139	no	6	1	0
Signal Revision	cand-d8b8aedd489cc43f	110	B/304	B/150	B/143	B/213	B/207	B/110	no	0	0	0
Test Bench	cand-486ad88a3471e0d1	110	B/121	B/110	B/264	B/177	B/326	B/165	no	6	0	0
TikiTick	cand-ab692e99bbeb20c1	110	B/230	B/244	B/164	B/170	B/110	B/229	no	6	0	0
Traceward	cand-8f886e0ce5589a76	110	B/110	B/211	B/196	B/169	B/228	B/247	no	6	0	0
Rewindle	cand-893546f2dbfcb4d3	112	B/136	B/159	B/161	B/121	B/112	B/173	no	6	0	0
Decl.Signature	cand-f39652c02146efd8	114	B/183	B/114	B/326	B/386	C/561	B/191	no	6	0	0
Klaktik	cand-1218a208201b48e7	115	B/115	B/174	B/172	B/184	B/183	B/190	no	6	0	0
Kindling Lab	cand-4fe217279e537e25	116	B/254	B/185	B/193	B/140	B/116	B/225	yes	6	0	0
Pause Bell	cand-cc550112ee67390e	117	B/343	B/318	B/257	B/153	B/117	B/347	no	6	0	0
Joinery	cand-eded4662cb4e7e9b	118	B/118	B/178	B/151	B/242	B/282	B/183	no	6	3	0
Resumework	cand-0b674da61ef2d14d	118	B/194	B/191	B/165	B/135	B/118	B/150	no	6	0	0
Doubt Press	cand-9dfdc2b0184faa27	119	B/394	B/337	B/250	B/163	B/119	B/342	yes	6	0	0
Trace Evidence	cand-e1fe0b538bb5d6ac	120	B/202	B/147	B/158	B/120	B/139	B/159	yes	6	0	0
Plain Programs	cand-60bacbb7022d8497	121	B/181	B/121	B/333	B/240	C/414	B/218	no	6	0	0
Boundwise	cand-d9fa6fd9da6a9da2	123	B/143	B/140	B/147	B/162	B/165	B/123	no	6	0	0
Revision Field	cand-6e0157cfc092b5ef	123	B/235	B/123	B/142	B/155	B/146	B/126	no	6	0	0
Signalroom	cand-0067f601e2a19801	123	B/213	B/228	B/194	B/151	B/123	B/201	no	0	0	0
Lathra	cand-f9f66b62130eca13	124	B/263	B/261	B/134	B/196	B/124	B/188	yes	6	0	0
Module.Signal	cand-cc5815d5125ab470	124	B/124	B/155	B/178	B/241	B/304	B/156	no	0	0	0
Counterweight	cand-acc707a95009a8d8	125	B/125	B/157	B/141	B/225	B/259	B/155	no	6	1	0
Editome	cand-a0891cc49af03c6c	125	B/185	B/245	B/168	B/146	B/125	B/237	no	6	0	0
Queuecraft	cand-d3e9fa1643063738	126	B/126	B/189	B/242	B/149	B/217	B/241	yes	0	0	0
Recurra	cand-6c4a27efaa1b18aa	127	B/216	B/264	B/208	B/186	B/127	B/228	no	6	0	0
Soft Instrument	cand-27cf3af547e105bf	127	B/218	B/135	B/152	B/127	B/141	B/154	yes	5	0	0
Holdfast	cand-d1580d2df7f24b6f	128	B/128	B/206	B/153	B/246	B/260	B/180	yes	6	2	0
Handspell	cand-ea95bd3a08432870	129	B/134	B/274	B/255	B/129	B/162	B/330	no	6	0	0
Executable Plans	cand-9fe63ee9c4dc92c3	130	B/237	B/130	B/309	B/307	C/453	B/168	no	6	0	0
Result Room	cand-e51b6e848b37b81f	130	B/130	B/154	B/205	B/148	B/199	B/198	no	5	0	0
Mavren	cand-661f4012d8279f5f	131	B/418	B/420	B/186	B/264	B/131	B/222	no	6	0	0
Vesk	cand-917b56399dfd6d03	132	B/279	B/241	B/132	B/216	B/134	B/147	no	6	0	0
Pareto Program	cand-7fe426670e68293c	133	B/238	B/183	B/133	B/157	B/155	B/169	no	6	0	0
Benchletter	cand-57b976527bf67546	134	B/178	B/188	B/177	B/134	B/153	B/185	no	0	0	0
Latticeway	cand-20ddd568f55075bd	135	B/201	B/205	B/135	B/181	B/159	B/157	no	0	0	0
Setpoint	cand-27c55e322ab859e5	135	B/135	B/186	B/233	B/292	C/421	B/221	no	6	1	0
Crashroom	cand-4b361d818a4a3334	137	B/137	B/408	B/343	B/229	B/277	C/477	yes	6	0	0
Little Observatory	cand-78861fa719fb9514	137	C/438	B/283	B/300	B/175	B/137	B/386	yes	6	0	0
Decl.Transform	cand-f0bf34da905f1f6d	138	B/148	B/138	B/268	C/392	C/512	B/141	no	0	0	0
Rehearse	cand-017c3548afaae5f6	138	B/138	B/175	B/176	B/226	B/285	B/196	no	6	3	0
Exit Ramp	cand-4d7f6b68419b522b	140	B/260	B/324	B/282	B/150	B/140	B/313	no	6	0	0
Causeway	cand-c2c0a72b71b80142	141	B/141	B/210	B/189	B/299	B/335	B/223	no	6	3	0
Feedback Compiler	cand-f51d91965147c2bb	141	B/184	B/207	B/182	B/141	B/196	B/175	yes	6	0	0
Edit Mark	cand-0a02067b8fe12f32	142	B/193	B/190	B/184	B/142	B/161	B/193	no	6	0	0
Choreologue	cand-5ec86ab8d41a104d	143	B/173	B/171	B/146	B/164	B/143	B/172	yes	6	0	0
Observable Program	cand-97a3b49340268142	143	B/336	B/143	B/404	C/419	C/582	B/194	no	6	0	0
Program.OTP	cand-a906c53fa2acb41b	144	B/144	B/246	C/482	C/676	C/961	B/367	no	6	0	0
Returnal	cand-6273add346502b06	144	B/363	B/316	B/215	B/234	B/144	B/272	no	0	0	0
Aulon	cand-d6bae96be76108ec	145	B/334	B/240	B/166	B/272	B/197	B/145	no	6	0	0
BopBox	cand-a99c26f9ac79d5a4	147	B/191	B/291	B/198	B/161	B/147	B/295	no	6	0	0
Execution Topology	cand-0fa66f97c88da15a	148	B/226	B/168	B/246	B/334	B/362	B/148	no	5	0	0
Halvo	cand-0c930847b89d3596	148	B/387	B/361	B/199	B/248	B/148	B/209	no	6	0	0
Daira	cand-d03d2a1d8674b5cb	149	B/208	B/204	B/149	B/236	B/187	B/160	no	5	0	0
Exit Hatch	cand-19b6d3497033c8be	149	B/256	B/389	B/316	B/165	B/149	B/376	yes	6	0	0
Palimstate	cand-4f13059d5d07bf8e	149	B/221	B/192	B/155	B/212	B/166	B/149	yes	6	0	0
Moduscript	cand-9284686529fa0ea6	150	B/150	B/181	B/275	B/251	B/336	B/216	no	6	0	0
PipPak	cand-0e8094cf36aeae2a	150	B/186	B/272	B/190	B/176	B/150	B/277	no	5	0	0
Copyloom	cand-f9702a2234548b60	152	C/453	C/460	B/262	B/235	B/152	B/320	yes	5	0	0
Metric Limit	cand-7a3ff1910a558f3d	152	B/164	B/163	B/207	B/223	B/271	B/152	no	6	0	0
Map the Boundary	cand-113472a66526c8bd	153	B/420	B/153	B/217	B/185	B/181	B/232	no	6	0	0
Crashworthy	cand-be162e295dadf1b7	154	B/154	C/455	B/348	B/254	B/318	C/499	no	6	0	0
Signal Depot	cand-14565c0f0e286766	154	B/159	B/203	B/197	B/154	B/185	B/187	no	6	0	0
Mumo	cand-cf3e403833171794	156	B/320	B/322	B/203	B/253	B/156	B/240	yes	6	0	0
Table Read	cand-4a330d43b029d03c	156	B/241	B/200	B/223	B/156	B/157	B/239	no	5	0	0
Merrow	cand-552c321aaebc567d	158	B/385	B/407	B/234	B/247	B/158	B/318	no	6	0	0
Program Evidence	cand-0a99dab5a1087b7a	158	B/295	B/158	B/383	B/383	C/517	B/205	no	0	0	0
Aftermany	cand-6a5698551f51127c	160	B/345	B/295	B/188	B/238	B/160	B/226	no	6	0	0
Galleys	cand-e6da6ebbf0fbd47c	160	B/160	B/195	B/206	B/183	B/210	B/200	no	6	0	0
Artifact Review	cand-df546da7f3d35421	161	B/405	B/164	B/228	B/260	B/269	B/161	no	0	0	0
Chorus	cand-ca6e99a67a7a8aa2	161	B/161	B/294	B/221	B/315	B/343	B/294	no	6	3	0
Review Loop	cand-66e1195c9e67a325	162	B/190	B/162	B/202	B/217	B/270	B/174	no	5	0	0
Nodum	cand-fef3b87becdd9668	163	B/207	B/237	B/163	B/206	B/163	B/211	no	6	0	0
Prebound	cand-4ff2cb0437213163	163	B/163	B/230	B/285	B/201	B/276	B/269	no	6	0	0
Declare	cand-b7012df7548775c2	165	B/165	B/212	B/273	B/385	C/533	B/242	no	6	3	0
PingPath	cand-9c5cc7bd85a34174	166	B/222	B/250	B/261	B/166	B/172	B/285	no	6	0	0
KipClip	cand-857322ec48baf10b	167	B/195	B/169	B/173	B/167	B/168	B/184	no	6	0	0
Manyfold	cand-a277e19c4a7c561c	167	B/167	B/235	B/179	B/357	B/380	B/207	no	6	2	0
Truss	cand-f84f002b2bed908f	168	B/168	B/278	B/210	B/306	B/377	B/246	no	6	3	0
Contractum	cand-6e205855ba929632	169	B/252	B/213	B/169	B/211	B/195	B/182	no	0	0	0
Pelumo	cand-d62c04b78ab6906c	169	B/404	B/385	B/200	B/281	B/169	B/284	no	6	0	0
Keep the Exit	cand-d97e2ca5a9ea94aa	170	C/833	C/521	B/400	B/269	B/170	C/590	no	6	0	0
Pullmark	cand-b804c83cd3487afc	170	B/170	B/263	B/272	B/255	B/279	B/297	no	6	0	0
Purpose Trace	cand-281117377030f414	170	B/253	B/201	B/170	B/187	B/224	B/204	no	0	0	0
Trace Review	cand-36a3477e7749e0ab	170	B/247	B/170	B/422	B/378	C/576	B/273	no	0	0	0
Mending Kit	cand-f7e991aa4ed33c4f	171	B/258	B/265	B/284	B/171	B/180	B/331	no	6	0	0
Turntaking	cand-8127daee22d09fbf	172	B/172	B/196	B/251	B/214	B/240	B/210	no	5	0	0
Torven	cand-2262343d92a7aac6	174	B/286	B/268	B/212	B/244	B/174	B/231	no	5	0	0
Warm Baseline	cand-fb955cbb8eeb87d6	174	B/288	B/222	B/260	B/174	B/205	B/251	yes	6	0	0
Wayfind	cand-dab4f700904644c8	174	B/174	B/225	B/244	B/313	B/378	B/256	no	5	2	0
Ancestor	cand-d490151378f5fc99	175	B/175	B/312	B/252	B/283	B/303	B/307	no	0	1	0
Footnote Engine	cand-0717ee3f9d98676d	175	C/502	B/403	B/327	B/195	B/175	B/427	yes	6	0	0
Boundary Stone	cand-fb9efa91bb73e6e0	176	B/383	B/297	B/243	B/207	B/176	B/283	no	5	0	0
Sem.Compose	cand-02dc46044df34195	176	B/176	B/223	B/204	B/323	C/396	B/206	no	6	0	0
